Item,Date,Value,Created_at
Market Capitalization,2025-05-12,660.0,2025-05-13 15:13:56.348420
Market Cap Growth,2025-05-12,-23.46,2025-05-13 15:13:56.348420
Enterprise Value,2025-05-12,623.0,2025-05-13 15:13:56.348420
Last Close Price,2025-05-12,1.36,2025-05-13 15:13:56.348420
PS Ratio,2025-05-12,0.97,2025-05-13 15:13:56.348420
PB Ratio,2025-05-12,2.02,2025-05-13 15:13:56.348420
P/TBV Ratio,2025-05-12,3.07,2025-05-13 15:13:56.348420
P/OCF Ratio,2025-05-12,10.25,2025-05-13 15:13:56.348420
EV/Sales Ratio,2025-05-12,0.91,2025-05-13 15:13:56.348420
Debt / Equity Ratio,2025-05-12,0.21,2025-05-13 15:13:56.348420
Asset Turnover,2025-05-12,0.95,2025-05-13 15:13:56.348420
Inventory Turnover,2025-05-12,10.87,2025-05-13 15:13:56.348420
Quick Ratio,2025-05-12,0.73,2025-05-13 15:13:56.348420
Current Ratio,2025-05-12,1.14,2025-05-13 15:13:56.348420
Return on Equity (ROE),2025-05-12,-87.61,2025-05-13 15:13:56.348420
Return on Assets (ROA),2025-05-12,-32.27,2025-05-13 15:13:56.348420
Return on Capital (ROIC),2025-05-12,-48.63,2025-05-13 15:13:56.348420
Earnings Yield,2025-05-12,-56.99,2025-05-13 15:13:56.348420
FCF Yield,2025-05-12,7.13,2025-05-13 15:13:56.348420
Buyback Yield / Dilution,2025-05-12,-8.13,2025-05-13 15:13:56.348420
Total Shareholder Return,2025-05-12,-8.13,2025-05-13 15:13:56.348420
