Item,Date,Value,Created_at
Market Capitalization,2025-05-12,4782.0,2025-05-13 15:14:05.006805
Market Cap Growth,2025-05-12,-3.92,2025-05-13 15:14:05.006805
Enterprise Value,2025-05-12,13953.0,2025-05-13 15:14:05.006805
Last Close Price,2025-05-12,4.88,2025-05-13 15:14:05.006805
PS Ratio,2025-05-12,3.54,2025-05-13 15:14:05.006805
PB Ratio,2025-05-12,1.94,2025-05-13 15:14:05.006805
EV/Sales Ratio,2025-05-12,10.32,2025-05-13 15:14:05.006805
EV/FCF Ratio,2025-05-12,97.7,2025-05-13 15:14:05.006805
Debt / Equity Ratio,2025-05-12,3.74,2025-05-13 15:14:05.006805
Debt / FCF Ratio,2025-05-12,64.45,2025-05-13 15:14:05.006805
Asset Turnover,2025-05-12,0.1,2025-05-13 15:14:05.006805
Inventory Turnover,2025-05-12,0.15,2025-05-13 15:14:05.006805
Quick Ratio,2025-05-12,0.01,2025-05-13 15:14:05.006805
Current Ratio,2025-05-12,1.2,2025-05-13 15:14:05.006805
Return on Equity (ROE),2025-05-12,-15.94,2025-05-13 15:14:05.006805
Return on Assets (ROA),2025-05-12,-0.52,2025-05-13 15:14:05.006805
Return on Capital (ROIC),2025-05-12,-0.59,2025-05-13 15:14:05.006805
Earnings Yield,2025-05-12,-9.19,2025-05-13 15:14:05.006805
FCF Yield,2025-05-12,2.99,2025-05-13 15:14:05.006805
