Item,Date,Value,Created_at
Market Capitalization,2025-05-12,639.0,2025-05-13 15:14:19.340653
Market Cap Growth,2025-05-12,81.37,2025-05-13 15:14:19.340653
Enterprise Value,2025-05-12,931.0,2025-05-13 15:14:19.340653
Last Close Price,2025-05-12,0.34,2025-05-13 15:14:19.340653
PS Ratio,2025-05-12,5.23,2025-05-13 15:14:19.340653
PB Ratio,2025-05-12,0.66,2025-05-13 15:14:19.340653
P/TBV Ratio,2025-05-12,0.85,2025-05-13 15:14:19.340653
EV/Sales Ratio,2025-05-12,7.61,2025-05-13 15:14:19.340653
EV/FCF Ratio,2025-05-12,33.56,2025-05-13 15:14:19.340653
Debt / Equity Ratio,2025-05-12,0.23,2025-05-13 15:14:19.340653
Debt / FCF Ratio,2025-05-12,8.05,2025-05-13 15:14:19.340653
Asset Turnover,2025-05-12,0.09,2025-05-13 15:14:19.340653
Inventory Turnover,2025-05-12,1.04,2025-05-13 15:14:19.340653
Quick Ratio,2025-05-12,0.33,2025-05-13 15:14:19.340653
Current Ratio,2025-05-12,0.92,2025-05-13 15:14:19.340653
Return on Equity (ROE),2025-05-12,-11.24,2025-05-13 15:14:19.340653
Return on Assets (ROA),2025-05-12,-3.06,2025-05-13 15:14:19.340653
Return on Capital (ROIC),2025-05-12,-4.59,2025-05-13 15:14:19.340653
Earnings Yield,2025-05-12,-13.33,2025-05-13 15:14:19.340653
FCF Yield,2025-05-12,4.34,2025-05-13 15:14:19.340653
Buyback Yield / Dilution,2025-05-12,-3.81,2025-05-13 15:14:19.340653
