Item,Date,Value,Created_at
Market Capitalization,2025-05-06,266284.0,2025-05-07 01:18:03.142862
Market Cap Growth,2025-05-06,6.12,2025-05-07 01:18:03.142862
Last Close Price,2025-05-06,139.5,2025-05-07 01:18:03.142862
PE Ratio,2025-05-06,5.63,2025-05-07 01:18:03.142862
PS Ratio,2025-05-06,1.84,2025-05-07 01:18:03.142862
PB Ratio,2025-05-06,0.47,2025-05-07 01:18:03.142862
Debt / Equity Ratio,2025-05-06,0.55,2025-05-07 01:18:03.142862
Return on Equity (ROE),2025-05-06,8.49,2025-05-07 01:18:03.142862
Return on Assets (ROA),2025-05-06,1.04,2025-05-07 01:18:03.142862
Earnings Yield,2025-05-06,17.77,2025-05-07 01:18:03.142862
Dividend Yield,2025-05-06,6.09,2025-05-07 01:18:03.142862
Total Shareholder Return,2025-05-06,6.09,2025-05-07 01:18:03.142862
