Item,Date,Value,Created_at
Market Capitalization,2025-05-13,1825.0,2025-05-14 13:08:58.457055
Market Cap Growth,2025-05-13,-11.38,2025-05-14 13:08:58.457055
Enterprise Value,2025-05-13,1813.0,2025-05-14 13:08:58.457055
Last Close Price,2025-05-13,1.78,2025-05-14 13:08:58.457055
PS Ratio,2025-05-13,36.16,2025-05-14 13:08:58.457055
PB Ratio,2025-05-13,1.46,2025-05-14 13:08:58.457055
P/TBV Ratio,2025-05-13,1.46,2025-05-14 13:08:58.457055
EV/Sales Ratio,2025-05-13,35.93,2025-05-14 13:08:58.457055
EV/FCF Ratio,2025-05-13,-26.15,2025-05-14 13:08:58.457055
Debt / Equity Ratio,2025-05-13,0.03,2025-05-14 13:08:58.457055
Asset Turnover,2025-05-13,0.04,2025-05-14 13:08:58.457055
Inventory Turnover,2025-05-13,0.11,2025-05-14 13:08:58.457055
Quick Ratio,2025-05-13,0.72,2025-05-14 13:08:58.457055
Current Ratio,2025-05-13,5.98,2025-05-14 13:08:58.457055
Return on Equity (ROE),2025-05-13,-1.25,2025-05-14 13:08:58.457055
Return on Assets (ROA),2025-05-13,-0.83,2025-05-14 13:08:58.457055
Return on Capital (ROIC),2025-05-13,-0.85,2025-05-14 13:08:58.457055
Earnings Yield,2025-05-13,-0.86,2025-05-14 13:08:58.457055
FCF Yield,2025-05-13,-3.8,2025-05-14 13:08:58.457055
