Item,Date,Value,Created_at
Market Capitalization,2025-05-13,1876.0,2025-05-14 13:09:09.717811
Market Cap Growth,2025-05-13,-81.28,2025-05-14 13:09:09.717811
Last Close Price,2025-05-13,0.36,2025-05-14 13:09:09.717811
PS Ratio,2025-05-13,-0.48,2025-05-14 13:09:09.717811
PB Ratio,2025-05-13,0.25,2025-05-14 13:09:09.717811
Debt / Equity Ratio,2025-05-13,0.02,2025-05-14 13:09:09.717811
Quick Ratio,2025-05-13,40.49,2025-05-14 13:09:09.717811
Current Ratio,2025-05-13,40.93,2025-05-14 13:09:09.717811
Return on Equity (ROE),2025-05-13,-47.28,2025-05-14 13:09:09.717811
Return on Assets (ROA),2025-05-13,-45.84,2025-05-14 13:09:09.717811
Earnings Yield,2025-05-13,-244.01,2025-05-14 13:09:09.717811
FCF Yield,2025-05-13,-3.58,2025-05-14 13:09:09.717811
Buyback Yield / Dilution,2025-05-13,-14.44,2025-05-14 13:09:09.717811
