Item,Date,Value,Created_at
Market Capitalization,2025-05-13,612.0,2025-05-14 13:09:13.800697
Market Cap Growth,2025-05-13,-53.59,2025-05-14 13:09:13.800697
Enterprise Value,2025-05-13,1151.0,2025-05-14 13:09:13.800697
Last Close Price,2025-05-13,2.08,2025-05-14 13:09:13.800697
PS Ratio,2025-05-13,0.17,2025-05-14 13:09:13.800697
PB Ratio,2025-05-13,0.84,2025-05-14 13:09:13.800697
P/TBV Ratio,2025-05-13,0.87,2025-05-14 13:09:13.800697
EV/Sales Ratio,2025-05-13,0.32,2025-05-14 13:09:13.800697
EV/FCF Ratio,2025-05-13,-8.45,2025-05-14 13:09:13.800697
Debt / Equity Ratio,2025-05-13,0.76,2025-05-14 13:09:13.800697
Asset Turnover,2025-05-13,1.26,2025-05-14 13:09:13.800697
Inventory Turnover,2025-05-13,122.75,2025-05-14 13:09:13.800697
Quick Ratio,2025-05-13,0.95,2025-05-14 13:09:13.800697
Current Ratio,2025-05-13,0.97,2025-05-14 13:09:13.800697
Return on Equity (ROE),2025-05-13,-27.3,2025-05-14 13:09:13.800697
Return on Assets (ROA),2025-05-13,-5.65,2025-05-14 13:09:13.800697
Return on Capital (ROIC),2025-05-13,-12.13,2025-05-14 13:09:13.800697
Earnings Yield,2025-05-13,-39.97,2025-05-14 13:09:13.800697
FCF Yield,2025-05-13,-22.27,2025-05-14 13:09:13.800697
Dividend Yield,2025-05-13,10.57,2025-05-14 13:09:13.800697
Buyback Yield / Dilution,2025-05-13,-1.46,2025-05-14 13:09:13.800697
Total Shareholder Return,2025-05-13,9.11,2025-05-14 13:09:13.800697
