Item,Date,Value,Created_at
Market Capitalization,2025-05-13,319.0,2025-05-14 13:09:37.470940
Market Cap Growth,2025-05-13,-30.61,2025-05-14 13:09:37.470940
Enterprise Value,2025-05-13,2856.0,2025-05-14 13:09:37.470940
Last Close Price,2025-05-13,0.25,2025-05-14 13:09:37.470940
PS Ratio,2025-05-13,0.17,2025-05-14 13:09:37.470940
PB Ratio,2025-05-13,0.21,2025-05-14 13:09:37.470940
P/TBV Ratio,2025-05-13,0.21,2025-05-14 13:09:37.470940
EV/Sales Ratio,2025-05-13,1.5,2025-05-14 13:09:37.470940
EV/FCF Ratio,2025-05-13,2.5,2025-05-14 13:09:37.470940
Debt / Equity Ratio,2025-05-13,1.71,2025-05-14 13:09:37.470940
Debt / FCF Ratio,2025-05-13,2.31,2025-05-14 13:09:37.470940
Asset Turnover,2025-05-13,0.36,2025-05-14 13:09:37.470940
Inventory Turnover,2025-05-13,0.36,2025-05-14 13:09:37.470940
Quick Ratio,2025-05-13,0.09,2025-05-14 13:09:37.470940
Current Ratio,2025-05-13,1.87,2025-05-14 13:09:37.470940
Return on Equity (ROE),2025-05-13,-20.69,2025-05-14 13:09:37.470940
Return on Assets (ROA),2025-05-13,-2.91,2025-05-14 13:09:37.470940
Return on Capital (ROIC),2025-05-13,-3.19,2025-05-14 13:09:37.470940
Earnings Yield,2025-05-13,-111.8,2025-05-14 13:09:37.470940
FCF Yield,2025-05-13,358.05,2025-05-14 13:09:37.470940
