Item,Date,Value,Created_at
Market Capitalization,2025-05-13,422.0,2025-05-14 13:09:43.373077
Market Cap Growth,2025-05-13,-44.26,2025-05-14 13:09:43.373077
Enterprise Value,2025-05-13,1209.0,2025-05-14 13:09:43.373077
Last Close Price,2025-05-13,0.31,2025-05-14 13:09:43.373077
PS Ratio,2025-05-13,0.72,2025-05-14 13:09:43.373077
PB Ratio,2025-05-13,0.52,2025-05-14 13:09:43.373077
P/TBV Ratio,2025-05-13,0.53,2025-05-14 13:09:43.373077
P/OCF Ratio,2025-05-13,4.53,2025-05-14 13:09:43.373077
EV/Sales Ratio,2025-05-13,2.06,2025-05-14 13:09:43.373077
EV/EBITDA Ratio,2025-05-13,15.14,2025-05-14 13:09:43.373077
EV/FCF Ratio,2025-05-13,-8.81,2025-05-14 13:09:43.373077
Debt / Equity Ratio,2025-05-13,1.06,2025-05-14 13:09:43.373077
Debt / EBITDA Ratio,2025-05-13,10.73,2025-05-14 13:09:43.373077
Asset Turnover,2025-05-13,0.34,2025-05-14 13:09:43.373077
Inventory Turnover,2025-05-13,1.93,2025-05-14 13:09:43.373077
Quick Ratio,2025-05-13,0.39,2025-05-14 13:09:43.373077
Current Ratio,2025-05-13,0.78,2025-05-14 13:09:43.373077
Return on Equity (ROE),2025-05-13,-5.68,2025-05-14 13:09:43.373077
Return on Assets (ROA),2025-05-13,-0.73,2025-05-14 13:09:43.373077
Return on Capital (ROIC),2025-05-13,-0.81,2025-05-14 13:09:43.373077
Earnings Yield,2025-05-13,-10.4,2025-05-14 13:09:43.373077
FCF Yield,2025-05-13,-32.56,2025-05-14 13:09:43.373077
