Item,Date,Value,Created_at
Market Capitalization,2025-05-01,467.0,2025-05-14 13:09:50.084223
Market Cap Growth,2025-05-01,-44.07,2025-05-14 13:09:50.084223
Enterprise Value,2025-05-01,1740.0,2025-05-14 13:09:50.084223
Last Close Price,2025-05-01,62.25,2025-05-14 13:09:50.084223
PS Ratio,2025-05-01,0.18,2025-05-14 13:09:50.084223
PB Ratio,2025-05-01,0.55,2025-05-14 13:09:50.084223
P/TBV Ratio,2025-05-01,0.55,2025-05-14 13:09:50.084223
EV/Sales Ratio,2025-05-01,0.68,2025-05-14 13:09:50.084223
EV/FCF Ratio,2025-05-01,8.1,2025-05-14 13:09:50.084223
Debt / Equity Ratio,2025-05-01,1.54,2025-05-14 13:09:50.084223
Debt / FCF Ratio,2025-05-01,6.07,2025-05-14 13:09:50.084223
Asset Turnover,2025-05-01,1.05,2025-05-14 13:09:50.084223
Inventory Turnover,2025-05-01,1.74,2025-05-14 13:09:50.084223
Quick Ratio,2025-05-01,0.24,2025-05-14 13:09:50.084223
Current Ratio,2025-05-01,1.26,2025-05-14 13:09:50.084223
Return on Equity (ROE),2025-05-01,-14.37,2025-05-14 13:09:50.084223
Return on Assets (ROA),2025-05-01,-2.29,2025-05-14 13:09:50.084223
Return on Capital (ROIC),2025-05-01,-2.43,2025-05-14 13:09:50.084223
Earnings Yield,2025-05-01,-27.98,2025-05-14 13:09:50.084223
FCF Yield,2025-05-01,46.0,2025-05-14 13:09:50.084223
