Item,Date,Value,Created_at
Market Capitalization,2025-05-13,187.0,2025-05-14 13:09:59.020095
Market Cap Growth,2025-05-13,-56.17,2025-05-14 13:09:59.020095
Enterprise Value,2025-05-13,360.0,2025-05-14 13:09:59.020095
Last Close Price,2025-05-13,0.05,2025-05-14 13:09:59.020095
PS Ratio,2025-05-13,0.43,2025-05-14 13:09:59.020095
PB Ratio,2025-05-13,0.42,2025-05-14 13:09:59.020095
P/TBV Ratio,2025-05-13,0.42,2025-05-14 13:09:59.020095
EV/Sales Ratio,2025-05-13,0.82,2025-05-14 13:09:59.020095
EV/FCF Ratio,2025-05-13,2.72,2025-05-14 13:09:59.020095
Debt / Equity Ratio,2025-05-13,0.39,2025-05-14 13:09:59.020095
Debt / FCF Ratio,2025-05-13,1.32,2025-05-14 13:09:59.020095
Asset Turnover,2025-05-13,0.4,2025-05-14 13:09:59.020095
Inventory Turnover,2025-05-13,6.67,2025-05-14 13:09:59.020095
Quick Ratio,2025-05-13,0.31,2025-05-14 13:09:59.020095
Current Ratio,2025-05-13,0.47,2025-05-14 13:09:59.020095
Return on Equity (ROE),2025-05-13,-66.95,2025-05-14 13:09:59.020095
Return on Assets (ROA),2025-05-13,-8.96,2025-05-14 13:09:59.020095
Return on Capital (ROIC),2025-05-13,-11.44,2025-05-14 13:09:59.020095
Earnings Yield,2025-05-13,-231.7,2025-05-14 13:09:59.020095
FCF Yield,2025-05-13,70.91,2025-05-14 13:09:59.020095
Buyback Yield / Dilution,2025-05-13,-82.69,2025-05-14 13:09:59.020095
