Item,Date,Value,Created_at
Market Capitalization,2025-05-13,19500.0,2025-05-14 13:10:01.578899
Market Cap Growth,2025-05-13,7.02,2025-05-14 13:10:01.578899
Last Close Price,2025-05-13,0.56,2025-05-14 13:10:01.578899
PE Ratio,2025-05-13,6.36,2025-05-14 13:10:01.578899
PS Ratio,2025-05-13,1.6,2025-05-14 13:10:01.578899
PB Ratio,2025-05-13,0.38,2025-05-14 13:10:01.578899
Debt / Equity Ratio,2025-05-13,1.64,2025-05-14 13:10:01.578899
Return on Equity (ROE),2025-05-13,6.16,2025-05-14 13:10:01.578899
Return on Assets (ROA),2025-05-13,0.57,2025-05-14 13:10:01.578899
Earnings Yield,2025-05-13,15.71,2025-05-14 13:10:01.578899
Dividend Yield,2025-05-13,7.27,2025-05-14 13:10:01.578899
Total Shareholder Return,2025-05-13,7.27,2025-05-14 13:10:01.578899
