Item,Date,Value,Created_at
Market Capitalization,2025-05-13,450.0,2025-05-14 13:10:04.268217
Market Cap Growth,2025-05-13,-20.0,2025-05-14 13:10:04.268217
Enterprise Value,2025-05-13,-547.0,2025-05-14 13:10:04.268217
Last Close Price,2025-05-13,1.5,2025-05-14 13:10:04.268217
PS Ratio,2025-05-13,6.27,2025-05-14 13:10:04.268217
PB Ratio,2025-05-13,0.36,2025-05-14 13:10:04.268217
P/TBV Ratio,2025-05-13,0.36,2025-05-14 13:10:04.268217
Debt / Equity Ratio,2025-05-13,0.0,2025-05-14 13:10:04.268217
Asset Turnover,2025-05-13,0.06,2025-05-14 13:10:04.268217
Inventory Turnover,2025-05-13,18.29,2025-05-14 13:10:04.268217
Quick Ratio,2025-05-13,302.32,2025-05-14 13:10:04.268217
Current Ratio,2025-05-13,303.7,2025-05-14 13:10:04.268217
Return on Equity (ROE),2025-05-13,-2.12,2025-05-14 13:10:04.268217
Return on Assets (ROA),2025-05-13,-1.15,2025-05-14 13:10:04.268217
Return on Capital (ROIC),2025-05-13,-1.16,2025-05-14 13:10:04.268217
Earnings Yield,2025-05-13,-6.03,2025-05-14 13:10:04.268217
