Item,Date,Value,Created_at
Market Capitalization,2025-05-13,264.0,2025-05-14 13:10:25.504932
Market Cap Growth,2025-05-13,26.4,2025-05-14 13:10:25.504932
Enterprise Value,2025-05-13,605.0,2025-05-14 13:10:25.504932
Last Close Price,2025-05-13,0.62,2025-05-14 13:10:25.504932
PS Ratio,2025-05-13,0.21,2025-05-14 13:10:25.504932
PB Ratio,2025-05-13,0.73,2025-05-14 13:10:25.504932
P/TBV Ratio,2025-05-13,0.97,2025-05-14 13:10:25.504932
EV/Sales Ratio,2025-05-13,0.48,2025-05-14 13:10:25.504932
EV/EBITDA Ratio,2025-05-13,21.06,2025-05-14 13:10:25.504932
EV/FCF Ratio,2025-05-13,4.24,2025-05-14 13:10:25.504932
Debt / Equity Ratio,2025-05-13,0.95,2025-05-14 13:10:25.504932
Debt / EBITDA Ratio,2025-05-13,11.9,2025-05-14 13:10:25.504932
Debt / FCF Ratio,2025-05-13,2.4,2025-05-14 13:10:25.504932
Asset Turnover,2025-05-13,1.17,2025-05-14 13:10:25.504932
Inventory Turnover,2025-05-13,70.62,2025-05-14 13:10:25.504932
Quick Ratio,2025-05-13,0.51,2025-05-14 13:10:25.504932
Current Ratio,2025-05-13,0.57,2025-05-14 13:10:25.504932
Return on Equity (ROE),2025-05-13,-23.74,2025-05-14 13:10:25.504932
Return on Assets (ROA),2025-05-13,-1.3,2025-05-14 13:10:25.504932
Return on Capital (ROIC),2025-05-13,-1.82,2025-05-14 13:10:25.504932
Earnings Yield,2025-05-13,-37.07,2025-05-14 13:10:25.504932
FCF Yield,2025-05-13,54.02,2025-05-14 13:10:25.504932
Buyback Yield / Dilution,2025-05-13,-48.58,2025-05-14 13:10:25.504932
Total Shareholder Return,2025-05-13,-48.58,2025-05-14 13:10:25.504932
