Item,Date,Value,Created_at
Market Capitalization,2025-05-13,92.0,2025-05-14 13:10:43.143106
Market Cap Growth,2025-05-13,-76.17,2025-05-14 13:10:43.143106
Enterprise Value,2025-05-13,-98.0,2025-05-14 13:10:43.143106
Last Close Price,2025-05-13,0.55,2025-05-14 13:10:43.143106
PE Ratio,2025-05-13,29.46,2025-05-14 13:10:43.143106
PS Ratio,2025-05-13,0.43,2025-05-14 13:10:43.143106
PB Ratio,2025-05-13,0.28,2025-05-14 13:10:43.143106
P/TBV Ratio,2025-05-13,0.29,2025-05-14 13:10:43.143106
EV/FCF Ratio,2025-05-13,-3.51,2025-05-14 13:10:43.143106
Debt / Equity Ratio,2025-05-13,0.01,2025-05-14 13:10:43.143106
Debt / FCF Ratio,2025-05-13,0.16,2025-05-14 13:10:43.143106
Asset Turnover,2025-05-13,0.56,2025-05-14 13:10:43.143106
Inventory Turnover,2025-05-13,4.42,2025-05-14 13:10:43.143106
Quick Ratio,2025-05-13,12.36,2025-05-14 13:10:43.143106
Current Ratio,2025-05-13,12.69,2025-05-14 13:10:43.143106
Return on Equity (ROE),2025-05-13,-1.29,2025-05-14 13:10:43.143106
Return on Assets (ROA),2025-05-13,-3.93,2025-05-14 13:10:43.143106
Return on Capital (ROIC),2025-05-13,-4.35,2025-05-14 13:10:43.143106
Earnings Yield,2025-05-13,-49.45,2025-05-14 13:10:43.143106
FCF Yield,2025-05-13,30.36,2025-05-14 13:10:43.143106
Buyback Yield / Dilution,2025-05-13,-10.0,2025-05-14 13:10:43.143106
Total Shareholder Return,2025-05-13,-10.0,2025-05-14 13:10:43.143106
